SurnamePercent,Exited,CreditCardBucket,AgeBucket,Tenure,BalanceBucket,NumOfProducts,HasCrCard,IsActiveMember,TenurePerAge,BalancePerSalary,CreditPerProduct,EstSalaryScaled,Geo.France,Geo.Germany,Geo.Spain,Gen.Female,Gen.Male
0.0,0,750.0,15.0,6.0,0.0,2.0,1.0,1.0,0.25,0.0,425.0,-1.5163759963231274,1.0,0.0,0.0,1.0,0.0
0.125,0,625.0,30.0,6.0,0.0,2.0,1.0,1.0,0.15789473684210525,0.0,362.5,1.018391729807378,1.0,0.0,0.0,0.0,1.0
0.14285714285714285,0,625.0,15.0,4.0,100000.0,1.0,0.0,1.0,0.14814814814814814,5.0652455396260265,674.0,-1.3619554591742769,0.0,1.0,0.0,1.0,0.0
0.0,0,500.0,30.0,8.0,100000.0,1.0,1.0,0.0,0.25806451612903225,4.272869098472208,590.0,-1.288191937634883,1.0,0.0,0.0,0.0,1.0
0.0,0,500.0,15.0,2.0,100000.0,2.0,1.0,1.0,0.07692307692307693,0.889962430148926,305.5,0.35837833747213754,1.0,0.0,0.0,1.0,0.0
0.3333333333333333,1,625.0,45.0,6.0,100000.0,4.0,1.0,0.0,0.11764705882352941,0.9178732116437952,174.5,0.9913320660078976,1.0,0.0,0.0,1.0,0.0
0.0,0,625.0,30.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,357.0,-0.6524734964950758,1.0,0.0,0.0,1.0,0.0
0.0,0,750.0,30.0,9.0,0.0,1.0,1.0,1.0,0.23076923076923078,0.0,769.0,-0.9144076353852103,0.0,0.0,1.0,0.0,1.0
0.2608695652173913,1,625.0,45.0,4.0,0.0,2.0,1.0,0.0,0.07017543859649122,0.0,344.5,0.6343993785192908,0.0,0.0,1.0,1.0,0.0
0.0,0,625.0,30.0,7.0,0.0,2.0,0.0,0.0,0.18421052631578946,0.0,345.5,-0.32407844629454324,1.0,0.0,0.0,0.0,1.0
0.4444444444444444,1,500.0,45.0,5.0,50000.0,2.0,1.0,0.0,0.09259259259259259,0.5821043307342311,283.5,1.0165347708944168,0.0,0.0,1.0,1.0,0.0
0.3333333333333333,1,500.0,45.0,9.0,0.0,1.0,1.0,1.0,0.17307692307692307,0.0,595.0,0.10651692056401432,1.0,0.0,0.0,0.0,1.0
0.0,0,625.0,15.0,0.0,100000.0,1.0,1.0,0.0,0.0,7.889369908344566,734.0,-1.4365239764082596,1.0,0.0,0.0,1.0,0.0
0.3333333333333333,0,625.0,30.0,5.0,0.0,1.0,1.0,0.0,0.1388888888888889,0.0,687.0,-1.4373686819726812,0.0,0.0,1.0,1.0,0.0
0.18181818181818182,0,625.0,30.0,5.0,0.0,2.0,1.0,1.0,0.1388888888888889,0.0,341.0,0.827875443478982,0.0,0.0,1.0,0.0,1.0
0.25,0,625.0,30.0,4.0,0.0,1.0,1.0,1.0,0.12121212121212122,0.0,725.0,-0.5633408620016997,1.0,0.0,0.0,1.0,0.0
0.3333333333333333,0,625.0,15.0,4.0,0.0,2.0,1.0,0.0,0.14814814814814814,0.0,329.5,-0.015378272368309595,0.0,0.0,1.0,0.0,1.0
0.0,0,625.0,30.0,1.0,0.0,2.0,1.0,0.0,0.03225806451612903,0.0,343.0,-1.6619379233434888,1.0,0.0,0.0,1.0,0.0
0.0,0,500.0,30.0,3.0,50000.0,1.0,1.0,1.0,0.08333333333333333,6.196440894669028,580.0,-1.5348416082935734,0.0,1.0,0.0,1.0,0.0
0.0,0,625.0,30.0,2.0,150000.0,2.0,1.0,1.0,0.05714285714285714,10.880138809066525,361.0,-1.483140228602008,1.0,0.0,0.0,1.0,0.0
0.2,0,375.0,30.0,5.0,50000.0,1.0,1.0,0.0,0.125,0.5864332346837811,444.0,0.7595544382658991,1.0,0.0,0.0,1.0,0.0
0.2,0,625.0,30.0,9.0,100000.0,1.0,1.0,1.0,0.2903225806451613,3.4902080566897085,641.0,-1.1842116434782213,1.0,0.0,0.0,0.0,1.0
0.0,0,500.0,30.0,4.0,50000.0,1.0,1.0,0.0,0.09523809523809523,0.6742377688450069,538.0,0.3307697021388315,0.0,1.0,0.0,1.0,0.0
0.0,0,500.0,30.0,0.0,100000.0,2.0,1.0,0.0,0.0,0.7162874636343086,308.5,1.445651467599997,1.0,0.0,0.0,1.0,0.0
0.0,0,625.0,30.0,7.0,0.0,2.0,1.0,1.0,0.19444444444444445,0.0,316.0,-0.830740681308881,1.0,0.0,0.0,1.0,0.0
0.0,0,625.0,15.0,5.0,150000.0,1.0,1.0,1.0,0.19230769230769232,3.1779669337875336,690.0,-0.8817257158485982,1.0,0.0,0.0,1.0,0.0
0.25,0,625.0,15.0,2.0,150000.0,2.0,0.0,1.0,0.07407407407407407,1.1405417659479602,326.0,0.7973822692677481,0.0,1.0,0.0,0.0,1.0
